,head,head_replaced,head_translated
125,ps3,ps3,PS3
126,pills,pills,药丸
127,scantron sheet,scantron sheet,扫描电子表
128,clock in or rather,clock in or rather,或者更确切地说
129,radio studio,radio studio,无线电演播室
130,play piano,play piano,弹钢琴
131,flannel,flannel,法兰绒
132,maintain muscle strength,maintain muscle strength,保持肌肉力量
133,millionaire,millionaire,百万富翁
134,diner,diner,进餐者
135,cotton footwear,cotton footwear,棉鞋
136,get contract,get contract,得到合同
137,know,know,知道
138,quiet place,quiet place,安静的地方
139,clothings,clothings,衣服
140,castor oil,castor oil,蓖麻油
141,letter tray,letter tray,信盘
142,shoulder pads,shoulder pads,垫肩
143,walls,walls,墙
144,freezer,freezer,冰柜
145,boogie board,boogie board,趴板
146,agency,agency,机构
147,caller,caller,打电话者
148,adhesive bandage,adhesive bandage,粘合绷带
149,stay home,stay home,呆在家里
150,bunson burner,bunson burner,本生燃烧器
151,cleanliness,cleanliness,清洁
152,crossbow,crossbow,弩
153,spaceship,spaceship,宇宙飞船
154,purchaser,purchaser,买主
155,seawater,seawater,海水
156,popcorn to eat,popcorn to eat,吃爆米花
157,measuring spoon,measuring spoon,计量勺
158,find rich husband,find rich husband,找到有钱的丈夫
159,jump up and down,jump up and down,跳上跳下
160,fair judge,fair judge,公正的法官
161,coneflower,coneflower,锥花
162,closet floor,closet floor,壁橱地板
163,air pump,air pump,气泵
164,analyst,analyst,分析师
165,cellular,cellular,细胞的
166,saxaphone player,saxaphone player,萨克斯风玩家
167,kitten in,kitten in,小猫在
168,dental office,dental office,牙科诊所
169,hot'n spicy butter marinade,hot'n spicy butter marinade,辣牛油腌料
170,oil tanker,oil tanker,油轮
171,grass,grass,草
172,creole garlic marinade,creole garlic marinade,克里奥尔大蒜腌料
173,have good skin,have good skin,皮肤好
174,corncob,corncob,玉米芯
175,bottom,bottom,底
176,soldiere,soldiere,士兵
177,postal box,postal box,邮政信箱
178,entry ticket/stub,entry ticket/stub,入场券／存根
179,hand massager,hand massager,手部按摩器
180,bag of groceries,bag of groceries,一袋杂货
181,table cloth,table cloth,桌布
182,chocolate syrup,chocolate syrup,巧克力糖浆
183,lexicon,lexicon,词典
184,celluar device,celluar device,赛璐珞装置
185,careful person,careful person,小心的人
186,bottles,bottles,瓶子
187,hiding spot,hiding spot,藏匿点
188,conveyor belt,conveyor belt,传送带
189,tire guage,tire guage,轮胎标尺
190,best man,best man,男傧相
191,ammonia,ammonia,氨
192,hot sauce,hot sauce,辣椒酱
193,military commander,military commander,军事指挥官
194,enrollment sheet,enrollment sheet,报名表格
195,dinner,dinner,晚餐
196,acetone,acetone,丙酮
197,juror,juror,陪审员
198,metalworker,metalworker,金工
199,change purse,change purse,钱包
200,futon,futon,蒲团
201,crock pot,crock pot,瓦罐
202,identification,identification,识别
203,foot wear,foot wear,脚磨损
204,token turnstile,token turnstile,标志转门
205,training gear,training gear,训练装备
206,pie plates,pie plates,馅饼盘
207,discomfort,discomfort,不舒服
208,warrior,warrior,勇士
209,beehive,beehive,蜂箱
210,television show,television show,电视节目
211,king's robe,king's robe,国王长袍
212,alot of alcohol,alot of alcohol,大量的酒精
213,heater,heater,加热器
214,penicillin,penicillin,青霉素
215,handkerchief,handkerchief,手帕
216,gmail,gmail,谷歌邮箱
217,infant,infant,婴儿
218,garage door opener,garage door opener,车库开门器
219,barbwire fence,barbwire fence,铁丝网
220,rotary file,rotary file,旋转锉
221,fruit tray,fruit tray,果盘
222,fancy clothes,fancy clothes,奇装异服
223,messages,messages,留言
224,handheld fan,handheld fan,手持式风扇
225,bug cream,bug cream,虫霜
226,dive,dive,潜水
227,pay for thermonuclear device,pay for thermonuclear device,为热核装置付费
228,bread box,bread box,面包盒
229,cooler,cooler,冷却器
230,gym pass,gym pass,健身房通行证
231,salsa,salsa,萨尔萨舞
232,unhealthy,unhealthy,不健康的
233,digital player,digital player,数码播放器
234,cocktail sauce,cocktail sauce,鸡尾酒汁
235,bass,bass,低音的
236,correction fluid,correction fluid,修正液
237,give birth,give birth,生
238,lptop,lptop,lptop
239,tomatos,tomatos,西红柿
240,grocer,grocer,食品杂货商
241,judgement,judgement,判断力
242,surface,surface,表面
243,sign document,sign document,签署文件
244,handtruck,handtruck,手推车
245,gojira,gojira,戈吉拉
246,enter data,enter data,输入数据
247,bar service,bar service,酒吧服务
248,voice navigation,voice navigation,语音导航
249,croquet game,croquet game,槌球游戏
250,reuseable bag,reuseable bag,可重复使用的袋子
251,hungry,hungry,饥饿的
252,flame,flame,火焰
253,movie poster,movie poster,电影海报
254,front room,front room,前厅
255,little dipper,little dipper,小北斗七星
256,coral reef,coral reef,珊瑚礁
257,certificate,certificate,证书
258,argon,argon,氩
259,whore,whore,妓女
260,cloth cover,cloth cover,布套
261,admission fee,admission fee,入场费
262,mouth piece,mouth piece,口片
263,reference list,reference list,参考清单
264,ice chest,ice chest,冰柜
265,trix,trix,特里克斯
266,applicaton,applicaton,应用
267,relaxation,relaxation,放松
268,fitting room,fitting room,试衣间
269,equpment,equpment,设备
270,peeler,peeler,剥皮器
271,barber cape,barber cape,巴伯披风
272,some clothes,some clothes,一些衣服
273,pool table,pool table,台球桌
274,human,human,人类
275,hand basket,hand basket,手提篮子
276,soot,soot,煤烟子
277,family picture,family picture,家庭照片
278,use mouthwash,use mouthwash,使用漱口水
279,ride,ride,骑
280,ratafia,ratafia,拉塔菲亚
281,bank statement,bank statement,银行结单
282,fisherman,fisherman,渔夫
283,elevator,elevator,电梯
284,walet,walet,瓦莱
285,role,role,作用
286,mode of transportation,mode of transportation,运输方式
287,dockworker,dockworker,码头工人
288,shovel,shovel,铲
289,metro card,metro card,地铁卡
290,school vpn,school vpn,学校vpn
291,oil stain on concrete,oil stain on concrete,混凝土上的油污
292,riding crop,riding crop,骑马用作物
293,bank card,bank card,银行卡
294,bike,bike,自行车
295,beefburger,beefburger,牛肉汉堡
296,professional,professional,专业的
297,rotten meat,rotten meat,腐肉
298,lackey,lackey,用人
299,comfort friend,comfort friend,安慰朋友
300,ball holder,ball holder,球架
301,paperweight,paperweight,镇纸
302,beanbag,beanbag,豆子袋
303,thank you card,thank you card,感谢卡
304,weed garden,weed garden,杂草园
305,oilcloth,oilcloth,油布
306,telephone operator,telephone operator,电话接线员
307,some strength,some strength,一些力量
308,sharp blade,sharp blade,锋利的刀
309,assassin,assassin,暗杀者
310,cake box,cake box,蛋糕盒
311,tyrant,tyrant,暴君
312,door knob,door knob,门把手
313,titanic,titanic,泰坦尼克号
314,santizer,santizer,桑蒂泽
315,apology card,apology card,道歉卡
316,socialite,socialite,社交名流
317,persistent searcher,persistent searcher,持久搜索器
318,piece of paper,piece of paper,一张纸
319,cat,cat,猫
320,nanny,nanny,保姆
321,mouse trap,mouse trap,捕鼠器
322,drums,drums,鼓
323,monthly fee,monthly fee,月费
324,keeper,keeper,饲养员
325,singularity,singularity,奇特
326,plantation,plantation,种植场
327,papers showing residence,papers showing residence,显示住宅的文件
328,hot air balloon,hot air balloon,热气球
329,border,border,边界
330,jump at chance,jump at chance,偶然的机会
331,joint of meat,joint of meat,肉的接合处
332,commander,commander,指挥官
333,political ideology,political ideology,政治意识形态
334,monkey wrench,monkey wrench,活动扳手
335,knight,knight,爵士
336,bookkeeper,bookkeeper,簿记员
337,secret locked diary,secret locked diary,密锁日记
338,old pencil,old pencil,旧铅笔
339,young lady,young lady,年轻女士
340,brush and mop,brush and mop,刷子和拖把
341,lawn chairs,lawn chairs,草坪椅
342,lessions,lessions,各次
343,bar stool,bar stool,酒吧高脚凳
344,bed frame,bed frame,床架
345,eat salty food,eat salty food,吃咸的食物
346,weed killer,weed killer,除草剂
347,katana,katana,武士刀
348,polaroid camera,polaroid camera,宝丽来相机
349,vows notes,vows notes,誓词笔记
350,messenger app,messenger app,信使应用程序
351,halloween mask,halloween mask,万圣节面具
352,hydroden peroxide,hydroden peroxide,过氧化氢
353,paino,paino,佩恩
354,golf club,golf club,高尔夫球俱乐部
355,aisles,aisles,通道
356,hash,hash,把…弄糟
357,cineastes,cineastes,电影
358,sentry,sentry,哨兵
359,hot rod,hot rod,赛车
360,square dancer,square dancer,广场舞者
361,new secretary,new secretary,新秘书
362,compact mirror,compact mirror,紧凑型反射镜
363,old magazine,old magazine,旧杂志
364,bed sheet,bed sheet,床单
365,clleats,clleats,clleats
366,dust bin,dust bin,垃圾桶
367,cosmetic tube,cosmetic tube,化妆品管
368,chainsaw,chainsaw,链锯
369,churchkey,churchkey,教堂
370,nice person,nice person,好人
371,inflation,inflation,通货膨胀
372,most likely not yours,most likely not yours,很可能不是你的
373,grove of trees,grove of trees,小树林
374,formal paperwork,formal paperwork,正式文书工作
375,pipette,pipette,吸管
376,drink too much,drink too much,喝得太多
377,roadway,roadway,道路
378,reviews,reviews,评论
379,empty schedule,empty schedule,空档期
380,cabinents,cabinents,细木工
381,digital data,digital data,数据
382,floppy disk,floppy disk,软盘
383,rubber duckie,rubber duckie,橡胶小鸭
384,tell story,tell story,讲故事
385,patriot,patriot,爱国者
386,editing software,editing software,编辑软件
387,gloves,gloves,手套
388,company to make their cd,company to make their cd,制作cd的公司
389,postal mailbox,postal mailbox,邮政信箱
390,car exhaust,car exhaust,汽车尾气
391,season,season,季节
392,litmus paper,litmus paper,石蕊试纸
393,wax,wax,蜡
394,watchman,watchman,警卫
395,upside down bug,upside down bug,倒置臭虫
396,monetary conditions,monetary conditions,货币条件
397,clutter,clutter,杂乱
398,administrator,administrator,管理者
399,phillips screwdriver,phillips screwdriver,菲利普斯螺丝刀
400,documents,documents,文档
401,cell phone,cell phone,手机
402,chess set,chess set,国际象棋
403,topical application,topical application,专题应用
404,apple picker,apple picker,苹果采摘机
405,new product,new product,新产品
406,hair clippers,hair clippers,剪毛器
407,newpaper stand,newpaper stand,报纸摊
408,compost bin,compost bin,堆肥仓
409,warfarin,warfarin,华法林
410,burial site,burial site,埋葬地点
411,chess bishop,chess bishop,国际象棋主教
412,valet,valet,洗
413,lynx,lynx,猞猁
414,spur,spur,刺激
415,become blind,become blind,变得盲目
416,computer chip,computer chip,计算机芯片
417,daily planner,daily planner,每日计划
418,cups of water,cups of water,水杯
419,battelfield,battelfield,巴特尔菲尔德
420,can of grease,can of grease,油罐
421,nose bridge pads,nose bridge pads,鼻梁垫
422,soil on earth,soil on earth,地球上的土壤
423,sitting mower,sitting mower,坐式割草机
424,booklets,booklets,小册子
425,audiophile,audiophile,发烧友
426,phone service,phone service,电话服务
427,pulp,pulp,纸浆
428,workaholic child,workaholic child,工作狂儿童
429,numbers book,numbers book,数字簿
430,bathtub,bathtub,浴缸
431,baton,baton,接力棒
432,weather report,weather report,天气报告
433,showel gel,showel gel,显色凝胶
434,solace,solace,安慰
435,expression,expression,表达
436,binolculars,binolculars,双筒望远镜
437,sugar,sugar,糖
438,food can,food can,食物罐
439,frozen vegetables,frozen vegetables,冷冻蔬菜
440,mexican restaurant,mexican restaurant,墨西哥餐厅
441,talk with distant person,talk with distant person,与远方的人交谈
442,magic bag,magic bag,魔术袋
443,husband/wife,husband/wife,丈夫/妻子
444,half pipe,half pipe,半管
445,clean hands,clean hands,干净的手
446,monopoly money,monopoly money,假钞票
447,bathroom drawer,bathroom drawer,浴室抽屉
448,means of travel,means of travel,旅行方式
449,nail clipper,nail clipper,指甲钳
450,tarot cards,tarot cards,塔罗牌
451,locksmithing kit,locksmithing kit,锁具套件
452,driver's manual,driver's manual,司机手册
453,omnivore,omnivore,杂食动物
454,every book,every book,每本书
455,players card,players card,球员卡
456,service man,service man,服务人员
457,motorola,motorola,摩托罗拉
458,side cushions,side cushions,侧垫
459,toy balloon,toy balloon,玩具气球
460,copilot,copilot,副驾驶
461,nintendo,nintendo,任天堂
462,gardening gloves,gardening gloves,园艺手套
463,ski poles,ski poles,滑雪杆
464,labels,labels,标签
465,organizer,organizer,组织者
466,dresses,dresses,连衣裙
467,famous person,famous person,名人
468,lines,lines,线路
469,maps,maps,地图
470,vehical,vehical,vehical
471,grapes,grapes,葡萄
472,to-go box,to-go box,打包盒
473,cloth linen,cloth linen,布亚麻布
474,void,void,空的
475,torpedo,torpedo,鱼雷
476,sports car,sports car,跑车
477,carrot sticks,carrot sticks,胡萝卜条
478,cafe,cafe,咖啡馆
479,dairymaid,dairymaid,挤奶女工
480,khakis,khakis,卡其布
481,have qualifications,have qualifications,有资格
482,bicycle chain and lock,bicycle chain and lock,自行车链锁
483,hotel key,hotel key,酒店钥匙
484,lotion,lotion,乳液
485,hasty criminal,hasty criminal,草率犯罪
486,sea life,sea life,海洋生物
487,animal shelter,animal shelter,动物收容所
488,cloak,cloak,斗篷
489,icecubes,icecubes,冰立方
490,stuff for garage sale,stuff for garage sale,旧货出售
491,lawn mower,lawn mower,割草机
492,wing,wing,翼
493,chocolate pudding,chocolate pudding,巧克力布丁
494,sexy lingerie,sexy lingerie,性感内衣
495,gun rack,gun rack,枪架
496,peroxide,peroxide,过氧化物
497,valuables,valuables,贵重物品
498,shiny red car,shiny red car,闪亮的红色轿车
499,unpolished surface,unpolished surface,未抛光表面
500,tv,tv,电视
501,sign up table,sign up table,报名表格
502,some tools,some tools,一些工具
503,exam materials,exam materials,考试材料
504,cook,cook,烹饪
505,breaker box,breaker box,断路器盒
506,archway,archway,拱门
507,dry apparel,dry apparel,干式服装
508,tranquilizer gun,tranquilizer gun,麻醉枪
509,own computer,own computer,拥有电脑
510,slinky dress,slinky dress,时髦的连衣裙
511,harpist,harpist,竖琴师
512,hair dye,hair dye,染发剂
513,play hopscotch,play hopscotch,玩跳房子
514,cow in barn,cow in barn,牛棚中的奶牛
515,hot chocolate,hot chocolate,巧克力热饮
516,rodent,rodent,啮齿动物
517,lemon chutney,lemon chutney,柠檬酸辣酱
518,burden,burden,负担
519,multiplan,multiplan,多计划
520,mark assignment,mark assignment,分数分配
521,town crier,town crier,街头公告员
522,athlete,athlete,运动员
523,letterhead paper,letterhead paper,信头纸
524,directions,directions,方向
525,fire starter,fire starter,消防启动器
526,bronze sculpture,bronze sculpture,青铜雕塑
527,report emergency,report emergency,报告紧急情况
528,new home,new home,新家
529,govenor,govenor,戈文诺
530,pet bed,pet bed,宠物床
531,piggy bank,piggy bank,猪形储蓄罐
532,pain reliever,pain reliever,止痛药
533,noise,noise,噪音
534,final tabs,final tabs,最终标签
535,name badge,name badge,姓名徽章
536,cpatain,cpatain,巴坦
537,crate,crate,板条箱
538,lunar lander,lunar lander,月球着陆器
539,alians,alians,马里人
540,batteries,batteries,电池
541,lake,lake,湖
542,bridge arch,bridge arch,桥拱
543,pigeon poop,pigeon poop,鸽子屎
544,covertible car,covertible car,可遮盖的汽车
545,breifcase,breifcase,breifcase
546,household disinfectants,household disinfectants,家用消毒剂
547,hype,hype,炒作
548,dustball,dustball,尘球
549,cleaning supplies,cleaning supplies,清洁用品
550,some butter,some butter,一些黄油
551,pruners,pruners,修剪机
552,graphite,graphite,石墨
553,huband,huband,胡班德
554,go on vacation,go on vacation,去度假
555,row of tvs,row of tvs,一排电视
556,prop,prop,支柱
557,wheeler,wheeler,车夫
558,barbells,barbells,杠铃
559,small dog in,small dog in,小狗在
560,prepared courses,prepared courses,预备课程
561,runway,runway,跑道
562,sea,sea,海
563,bicyclist,bicyclist,骑自行车者
564,benck,benck,本克
565,corner,corner,角
566,galley,galley,厨房
567,human blockade,human blockade,人类封锁
568,hardtack,hardtack,哈达克
569,imagination,imagination,想象力
570,algorithm,algorithm,算法
571,sofabeds,sofabeds,沙发床
572,clerk,clerk,职员
573,pen and paper,pen and paper,纸笔
574,walkie talkie,walkie talkie,对讲机
575,mainsail,mainsail,主帆
576,learn to read music,learn to read music,学会阅读音乐
577,tritium,tritium,氚
578,ovoo,ovoo,奥沃
579,spice,spice,香料
580,clothespin,clothespin,衣夹
581,pillow case in,pillow case in,枕套
582,watch hands,watch hands,手表指针
583,cast death spell,cast death spell,铸死咒
584,puffy paint,puffy paint,蓬松漆
585,slip of paper,slip of paper,纸片
586,eye dropper,eye dropper,眼滴管
587,on college campus,on college campus,大学校园
588,ballet dancer,ballet dancer,芭蕾舞演员
589,weapons,weapons,武器
590,childe,childe,公子
591,streptomycin,streptomycin,链霉素
592,make patchwork quilt,make patchwork quilt,做拼布被子
593,music stand,music stand,乐谱架
594,test papers,test papers,试卷
595,clay,clay,黏土
596,saliva,saliva,唾液
597,second violin,second violin,第二小提琴
598,hernia,hernia,疝
599,marijuana use,marijuana use,吸食大麻
600,execution,execution,执行
601,reflector,reflector,反光器
602,copy of id,copy of id,身份证复印件
603,more space,more space,更多空间
604,snow gear,snow gear,雪具
605,spiral notebook,spiral notebook,螺旋笔记本
606,dead body,dead body,死尸
607,strike match,strike match,罢工比赛
608,lavish gifts,lavish gifts,奢华的礼物
609,vitamin,vitamin,维生素
610,measuring cup,measuring cup,量杯
611,strikeout,strikeout,出局
612,bicycle,bicycle,自行车
613,hypochondriac,hypochondriac,疑病症患者
614,sustenance,sustenance,食物
615,ct scan,ct scan,CT扫描
616,lips,lips,嘴唇
617,eyelids,eyelids,眼睑
618,corn plant,corn plant,玉米植株
619,alcahol,alcahol,阿尔凯
620,change jar,change jar,换罐
621,typewrite,typewrite,打字
622,textbooks,textbooks,教科书
623,coalminer,coalminer,采煤机
624,gunsafe,gunsafe,枪保险柜
625,gliders,gliders,滑翔机
626,video,video,视频
627,art critic,art critic,艺术评论家
628,panhandler,panhandler,乞丐
629,putter,putter,推杆
630,cocain,cocain,可卡因
631,repetition,repetition,重复
632,team,team,队
633,adjenda,adjenda,阿登达
634,dating website,dating website,交友网站
635,soccer player,soccer player,足球运动员
636,fountain pen,fountain pen,钢笔
637,embarrassment,embarrassment,尴尬
638,knife to,knife to,刀到
639,wood and lether,wood and lether,木材和皮革
640,find love,find love,找到爱
641,impulse buy,impulse buy,冲动购物
642,lead cover,lead cover,铅盖
643,ledger,ledger,账簿
644,acrylic,acrylic,丙烯酸的
645,toy gun,toy gun,玩具枪
646,crutches,crutches,拐杖
647,pension,pension,养老金
648,rudder,rudder,舵
649,singular,singular,单数的
650,large bank account,large bank account,大型银行帐户
651,jude,jude,裘德
652,picayune person,picayune person,picayune人
653,checkbooks,checkbooks,支票簿
654,preist,preist,牧师
655,pool card,pool card,游泳池卡
656,soccer cleats,soccer cleats,足球保龄球
657,concert schedule,concert schedule,音乐会时间表
658,mace,mace,权杖
659,intersection,intersection,十字路口
660,squash court,squash court,壁球场
661,gasoline,gasoline,汽油
662,extra money,extra money,额外的钱
663,traveller,traveller,旅行者
664,firetruck,firetruck,救火车
665,underage drinker,underage drinker,未成年饮酒者
666,letters,letters,信
667,faux painter,faux painter,人造画家
668,styling gel,styling gel,定型凝胶
669,vegetation,vegetation,植物
670,stitches,stitches,缝线
671,give speech,give speech,发表演讲
672,fists,fists,拳
673,musioc,musioc,musioc
674,pharmaceuticals,pharmaceuticals,医药品
675,touch,touch,触摸
676,projectile ball,projectile ball,弹丸球
677,utterance might,utterance might,话语可能
678,soy sauce,soy sauce,酱油
679,soldier,soldier,军人
680,admission forms,admission forms,入学表格
681,class notes,class notes,课堂笔记
682,bag of weed,bag of weed,一袋大麻
683,grave,grave,坟墓
684,gas truck,gas truck,加油车
685,cradle,cradle,摇篮
686,receiver in football game,receiver in football game,足球比赛中的接球手
687,suboordinate,suboordinate,超纵坐标
688,language,language,语言
689,adoptive parents,adoptive parents,养父母
690,patch,patch,补丁
691,drunkard,drunkard,酒鬼
692,adventurous person,adventurous person,冒险家
693,high altitude,high altitude,高海拔
694,condoms,condoms,避孕套
695,throw pillows,throw pillows,抱枕
696,dynamite,dynamite,炸毁
697,contact details,contact details,联系方式
698,garbage,garbage,垃圾
699,nicotine patch,nicotine patch,尼古丁贴片
700,turtle food,turtle food,龟类食物
701,openmind,openmind,openmind
702,walk dog,walk dog,遛狗
703,costa,costa,肋骨
704,aplumber,aplumber,水管工
705,uncreative person,uncreative person,缺乏创造力的人
706,road kill,road kill,马路杀手
707,hiking boots,hiking boots,登山靴
708,sit down,sit down,坐下
709,learn about science,learn about science,了解科学
710,demonstration,demonstration,示范
711,coffee sleeve,coffee sleeve,咖啡袖
712,samurai warrior,samurai warrior,武士战士
713,shady place to sit,shady place to sit,阴凉的地方
714,flower pot,flower pot,花盆
715,out fit,out fit,合身
716,there for good,there for good,永远在那里
717,doctors note,doctors note,医生提示
718,windbreaker,windbreaker,风衣
719,reproduction,reproduction,生殖
720,librariam,librariam,图书馆
721,swimwear,swimwear,游泳衣
722,dental assistant,dental assistant,牙科助理
723,science fair judge,science fair judge,科学公正法官
724,stupid person,stupid person,愚蠢的人
725,souviners,souviners,苏文士
726,scary,scary,骇人的
727,carseat,carseat,卡座
728,design,design,设计
729,watering hose,watering hose,浇水软管
730,gear stick,gear stick,变速杆
731,written orders,written orders,书面命令
732,taxonomist,taxonomist,分类学家
733,pan or pot,pan or pot,锅或锅
734,hard copy,hard copy,硬拷贝
735,sign out sheet,sign out sheet,签出单
736,sturdy bag,sturdy bag,坚固袋
737,dance shoe,dance shoe,舞鞋
738,more information,more information,更多信息
739,pond in,pond in,池塘
740,signpost,signpost,路标
741,cupcakes,cupcakes,纸杯蛋糕
742,wrist bands,wrist bands,腕带
743,math class notes,math class notes,数学课笔记
744,bad driver,bad driver,糟糕的司机
745,arena,arena,竞技场
746,war,war,战争
747,oranges,oranges,橙子
748,oceanic fish,oceanic fish,大洋鱼
749,fiber optic cable,fiber optic cable,光缆
750,adventuresome person,adventuresome person,喜欢冒险的人
751,conversation,conversation,会话
752,ramp,ramp,斜坡
753,agreement,agreement,协议
754,tennis game,tennis game,网球比赛
755,birdbath,birdbath,水盆
756,large company,large company,大公司
757,carabiner,carabiner,竖钩
758,some decorations,some decorations,一些装饰品
759,voyeur,voyeur,窥淫癖者
760,movie theater seat,movie theater seat,电影院座位
761,park car,park car,停车车
762,mode of payment,mode of payment,付款方式
763,wage war,wage war,工资战争
764,logic,logic,逻辑
765,pedestal,pedestal,基座
766,turbine,turbine,涡轮机
767,lock pick,lock pick,撬锁器
768,fog,fog,雾
769,become scuba diver,become scuba diver,成为潜水者
770,fastener binder,fastener binder,紧固件粘合剂
771,plank,plank,板条
772,interviews,interviews,访谈
773,telephone book,telephone book,电话簿
774,vengeance,vengeance,复仇
775,spectacle,spectacle,眼镜
776,agile boxer,agile boxer,敏捷拳击手
777,spaghetti,spaghetti,意大利式细面条
778,singapore,singapore,新加坡
779,rheostat,rheostat,变阻器
780,train pass,train pass,火车通行证
781,democracy,democracy,民主
782,agree,agree,同意
783,poker,poker,扑克
784,medicines,medicines,药
785,stage curtain,stage curtain,舞台幕布
786,white out,white out,白掉
787,doggie bag,doggie bag,打包袋
788,weather vane,weather vane,风向标
789,body wash,body wash,沐浴露
790,eyeshadow,eyeshadow,眼影
791,financial planner,financial planner,理财规划师
792,carriage,carriage,运输
793,bus station,bus station,公共汽车站
794,heresy,heresy,异教
795,liccense,liccense,liccense
796,wall chart,wall chart,挂图
797,really bad beer,really bad beer,真糟糕的啤酒
798,scales,scales,比额表
799,salt,salt,盐
800,juice,juice,果汁
801,address for a bar,address for a bar,酒吧地址
802,color television,color television,彩色电视
803,card holder,card holder,持卡人
804,bulliten board,bulliten board,球衣板
805,bifocals,bifocals,双光眼镜
806,cain,cain,该隐
807,hat and coat,hat and coat,帽子和外套
808,frigid weather,frigid weather,寒冷天气
809,white collar thief,white collar thief,白领小偷
810,caluator,caluator,caluator
811,bean,bean,豆
